alphabetic_country_rank,name,url,capital,languages,largest_religion,area_total,population,gdp_nominal_total,gdp_nominal_per_capita,currency,time_zone,observes_dst,calling_code,flag_path,anthem_path,duck_pop_rank,continent,alcohol_consumption,alcohol_consumption_ranked,Total_borders_km,Num_borders,Neighbors,flag_colours
98,Luxembourg,https://en.wikipedia.org/wiki/Luxembourg,Luxembourg,National language: Luxembourgish Administrative languages: Luxembourgish German French,53% Christianity 46% Catholicism 7% other Christian 38% no religion 9% other,"2,586.4 km²","700,000",,,€ (EUR),UTC +1,0,+352,countries/Luxembourg_flag.png,countries/Luxembourg_anthem.mp3,,Europe,14.35,4.0,359,3.0,Belgium: 148 km (92 mi); France: 73 km (45 mi); Germany: 138 km (86 mi),"Red, Light Blue, White"
99,Madagascar,https://en.wikipedia.org/wiki/Madagascar,Antananarivo,Malagasy French,84.7% Christianity 45.8% Protestantism 38.1% Catholicism 0.8% other Christian 7.3% no religion 4.7% traditional faiths 3.1% Islam 0.3% others,"592,796 km²",32 million,,,(MGA),UTC +3,0,+261,countries/Madagascar_flag.png,countries/Madagascar_anthem.ogg,20.0,Africa,1.25,105.0,0,0.0,,"Red, Green, White"
100,Malawi,https://en.wikipedia.org/wiki/Malawi,Lilongwe,( none at national level),Gender and religion Gender in Bible translation God and gender in Hinduism,"118,484 km²",21.2 million,,,(D) (MWK),UTC +2,0,+265,countries/Malawi_flag.png,countries/Malawi_anthem.mp3,,Africa,0.42,134.0,"2,881",3.0,"Mozambique: 1,569 km (975 mi); Tanzania: 475 km (295 mi); Zambia: 837 km (520 mi)","Black, Green, Red"
101,Malaysia,https://en.wikipedia.org/wiki/Malaysia,Kuala Lumpur,Malay,63.5% Islam ( official )  18.7% Buddhism 9.1% Christianity 6.1% Hinduism 0.9% other 1.8% unknown,"330,803 km²",34.6 million,,,(RM) (MYR),UTC +8,0,+60,countries/Malaysia_flag.png,countries/Malaysia_anthem.ogg,12.0,Asia,0.87,118.0,"3,147",3.0,"Brunei (2): 381 km (237 mi); Indonesia: 1,782 km (1,107 mi); Thailand: 506 km (314 mi)","Red, Dark Blue, White, Yellow"
102,Maldives,https://en.wikipedia.org/wiki/Maldives,Malé,Dhivehi,Dharmic Buddhism Hinduism Jainism Sikhism Islam Religious persecution Bangladesh India Pakistan,298 km²,"600,000",,,(MVR),UTC +5,0,+960,countries/Maldives_flag.png,countries/Maldives_anthem.ogg,,Asia,2.08,89.0,0,0.0,,"Red, White"
103,Mali,https://en.wikipedia.org/wiki/Mali,,"13 national languages   Bambara Bobo Hassaniya Arabic Bozo Dogon, Toro So Fula Kassonke Maninke Minyanka Senufo, Senara Songhay, Koyraboro Senni Soninke Tamasheq",95% Islam 5% other,"1,240,192 km²",22 million,,,(XOF),UTC ±0,0,+223,countries/Mali_flag.png,countries/Mali_anthem.mp3,,Africa,0.0,165.0,"7,243",7.0,"Algeria: 1,376 km (855 mi); Burkina Faso: 1,000 km (620 mi); Côte d'Ivoire: 532 km (331 mi); Guinea: 858 km (533 mi); Mauritania: 2,237 km (1,390 mi); Niger: 821 km (510 mi); Senegal: 419 km (260 mi)","Green, Red, Yellow"
104,Malta,https://en.wikipedia.org/wiki/Malta,Valletta,Maltese English  Maltese Sign Language,88.5% Christianity 82.6% Catholicism ( official ) 5.9% other Christian 5.1% no religion 3.9% Islam 1.4% Hinduism 1.1% other,316 km²,"500,000",,,€ (EUR),UTC +1,1,+356,countries/Malta_flag.png,countries/Malta_anthem.ogg,,Europe,6.91,48.0,0,0.0,,"Red, White"
105,Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands,Majuro,Marshallese English,v t e Religion in Oceania Sovereign states Australia Federated States of Micronesia Fiji Indonesia Kiribati Marshall Islands Nauru New Zealand Palau Papua New Guinea Samoa Solomon Islands Tonga Tuvalu Vanuatu Associated states of New Zealand Cook Islands Niue Dependencies and other territories American Samoa Christmas Island Cocos (Keeling) Islands Easter Island French Polynesia Guam Hawaii New Caledonia Norfolk Island Northern Mariana Islands Pitcairn Islands Tokelau Wallis and Futuna,181.43 km²,"42,000",,,,UTC +12,1,+692,countries/Marshall_Islands_flag.png,countries/Marshall_Islands_anthem.ogg,,Oceania,,,0,0.0,,"Blue, Orange, White"
106,Mauritania,https://en.wikipedia.org/wiki/Mauritania,Nouakchott,Arabic Pulaar Soninke Wolof,Sunni Islam ( official ),"1,030,000 km²",5.5 million,,,(MRU),UTC ±0,0,+222,countries/Mauritania_flag.png,countries/Mauritania_anthem.ogg,,Africa,0.0,187.0,"5,074",4.0,"Algeria: 463 km (288 mi); Mali: 2,237 km (1,390 mi); Senegal: 813 km (505 mi); Western Sahara: 1,561 km (970 mi)","Green, Red, Yellow"
107,Mauritius,https://en.wikipedia.org/wiki/Mauritius,Port Louis,None ( de jure ) English French ( de facto ),47.9% Hinduism 32.3% Christianity 18.2% Islam 1.6% others / none,"2,040 km²",1.2 million,,,(MUR),UTC +4,0,+230,countries/Mauritius_flag.png,countries/Mauritius_anthem.ogg,59.0,Africa,4.33,69.0,0,0.0,,"Red, Blue, Green, Yellow"
108,Mexico,https://en.wikipedia.org/wiki/Mexico,Mexico City,68 Indigenous languages,88.9% Christianity 77.7% Catholicism 11.2% Protestantism 8.1% Irreligion 2.4% other religion 0.5% prefer not to say,"1,972,550 km²",131.9 million,,,(MXN),UTC -8 to -5,1,+52,countries/Mexico_flag.png,countries/Mexico_anthem.ogg,,North America,5.04,63.0,"4,353",3.0,"Belize: 250 km (160 mi); Guatemala: 962 km (598 mi); United States: 3,141 km (1,952 mi)","Green, Red, White"
109,Moldova,https://en.wikipedia.org/wiki/Moldova,Chișinău,Romanian,97.4% Christianity 94.3% Eastern Orthodoxy 3.1% other Christian 0.3% other 1.5% no religion 0.8% unanswered,"33,843 km²",2.4 million,,,(MDL),UTC +2,1,+373,countries/Moldova_flag.png,countries/Moldova_anthem.mp3,,Europe,8.62,34.0,"1,389",2.0,Romania: 450 km (280 mi); Ukraine: 939 km (583 mi),"Blue, Gold, Red, Yellow"
110,Monaco,https://en.wikipedia.org/wiki/Monaco,Monaco ( city-state ),French  ( Meridional ),86.0% Christianity 80.9% Catholicism ( official )  5.1% other Christian 11.7% no religion 1.7% Judaism 0.4% Islam 0.2% other,2.084 km²,"38,000",,,€ (EUR),UTC +1,1,+377,countries/Monaco_flag.png,countries/Monaco_anthem.mp3,,Europe,,,4.4,1.0,France: 4.4 km (2.7 mi),"Red, White"
111,Mongolia,https://en.wikipedia.org/wiki/Mongolia,Ulaanbaatar,Mongolian ( Buriat Khalkha Oirat ),51.7% Buddhism 40.6% No religion 3.2% Islam 2.5% Shamanism 1.3% Christianity 0.7% other,"1,564,116 km²",3.5 million,,,(MNT),UTC +7/+8,0,+976,countries/Mongolia_flag.png,countries/Mongolia_anthem.ogg,,Asia,1.95,91.0,"8,220",2.0,"People's Republic of China: 4,677 km (2,906 mi); Russia: 3,485 km (2,165 mi)","Blue, Red, Yellow"
112,Montenegro,https://en.wikipedia.org/wiki/Montenegro,Podgorica,Montenegrin,74.9% Christianity 71.1% Eastern Orthodoxy 3.2% Catholicism 0.6% other Christian 19.9% Islam 2.7% no religion 0.3% other 2.2% not stated,"13,883 km²","600,000",,,€ (EUR),UTC +1,1,+382,countries/Montenegro_flag.png,countries/Montenegro_anthem.mp3,,Europe,0.0,166.0,625,5.0,Albania: 172 km (107 mi); Bosnia and Herzegovina: 225 km (140 mi); Croatia: 25 km (16 mi); Kosovo: 79 km (49 mi); Serbia: 124 km (77 mi),"Red, Gold"
113,Morocco,https://en.wikipedia.org/wiki/Morocco,Rabat,Arabic Tamazight,99.68% Islam ( official ) 99.23% Sunni 0.45% Shia 0.3% Others 0.13% Agnostics 0.10% Baháʼís 0.09% Christians 0.01% Jews,"446,550 km²",37.5 million,,,(MAD),UTC +1 UTC ±0,0,+212,countries/Morocco_flag.png,countries/Morocco_anthem.ogg,,Africa,0.58,127.0,"2,018",3.0,"Algeria: 1,559 km (969 mi); Western Sahara: 443 km (275 mi); Spain (3): 17 km (11 mi)","Red, Green"
114,Mozambique,https://en.wikipedia.org/wiki/Mozambique,Maputo,Portuguese,62.0% Christianity 19.1% Islam 13.5% no religion 4.3% other  1.2%  unknown,"801,590 km²",34.9 million,,,(MZN),UTC +2,0,+258,countries/Mozambique_flag.png,countries/Mozambique_anthem.ogg,26.0,Africa,0.45,133.0,"4,571",6.0,"Eswatini: 105 km (65 mi); Malawi: 1,569 km (975 mi); South Africa (2): 491 km (305 mi); Tanzania: 756 km (470 mi); Zambia: 419 km (260 mi); Zimbabwe: 1,231 km (765 mi)","Black, Green, Red, White, Yellow"
115,Myanmar,https://en.wikipedia.org/wiki/Myanmar,Naypyidaw,Burmese,87.9% Buddhism ( official )  6.2% Christianity 4.91% Protestantism 1.29% Catholicism 4.3% Islam 0.8% folk religion  0.5% Hinduism 0.1% no religion 0.2% other,"676,579 km²",55.8 million,,,(K) (MMK),UTC +6:30,0,+95,countries/Myanmar_flag.png,countries/Myanmar_anthem.oga,10.0,Asia,0.21,144.0,"5,876",5.0,"Bangladesh: 193 km (120 mi); People's Republic of China: 2,185 km (1,358 mi); India: 1,463 km (909 mi); Laos: 235 km (146 mi); Thailand: 2,416 km (1,501 mi)","Yellow, Green, Red, White"
116,Namibia,https://en.wikipedia.org/wiki/Namibia,Windhoek,Afrikaans German Khoekhoegowab Oshiwambo Otjiherero RuKwangali Setswana siLozi,87.9% Christianity 43.7% Lutheranism 22.8% Catholicism 17.0% Anglicanism 4.4% other Christian 10.5% other 1.6% no religion,"825,615 km²",3 million,,,(NAD) (ZAR),UTC +2,0,+264,countries/Namibia_flag.png,countries/Namibia_anthem.ogg,,Africa,0.0,167.0,"3,936",4.0,"Angola: 1,376 km (855 mi); Botswana: 1,360 km (850 mi); South Africa: 967 km (601 mi); Zambia: 233 km (145 mi)","Blue, Green, Red, White, Yellow"
117,Nauru,https://en.wikipedia.org/wiki/Nauru,Yaren ( de facto ),Nauruan  English,Christianity,21 km²,"12,000",,,(AUD),UTC +12,0,+674,countries/Nauru_flag.png,countries/Nauru_anthem.ogg,,Oceania,0.0,168.0,0,0.0,,"Blue, White, Yellow"
118,Nepal,https://en.wikipedia.org/wiki/Nepal,Kathmandu,All mother-tongues   (see Languages of Nepal ),Dharmic Buddhism Hinduism Jainism Sikhism Islam Religious persecution Bangladesh India Pakistan,"147,516 km²",31.1 million,,,रू (NPR),UTC +5:45,0,+977,countries/Nepal_flag.png,countries/Nepal_anthem.ogg,37.0,Asia,0.0,169.0,"2,926",2.0,"People's Republic of China: 1,236 km (768 mi); India: 1,690 km (1,050 mi)","Crimson, Blue, White"
119,Netherlands,https://en.wikipedia.org/wiki/Netherlands,Amsterdam,Dutch,56% no religion 31% Christianity 17% Catholicism 14% Protestantism 6% Islam 7% other,"41,865 km²",18 million,,,€ (EUR) US$ (USD),UTC +1,1,"+31 , +599",countries/Netherlands_flag.png,countries/Netherlands_anthem.ogg,36.0,Europe,9.8,22.0,"1,027",2.0,Belgium (31): 450 km (280 mi); Germany: 577 km (359 mi),"Red, Blue, White"
120,New Zealand,https://en.wikipedia.org/wiki/New_Zealand,Wellington,English  Māori NZ Sign Language,51.6% no religion 32.3% Christianity  2.9% Hinduism 6.3% other 6.9% undeclared,"263,310 km²",5.3 million,,,$ (NZD),UTC +12,1,+64,countries/New_Zealand_flag.png,countries/New_Zealand_anthem.ogg,46.0,Oceania,8.85,30.0,0,0.0,,"White, Blue, Red"
121,Nicaragua,https://en.wikipedia.org/wiki/Nicaragua,Managua,Spanish,84.4% Christianity 55.0% Catholicism 27.2% Protestantism 2.2% other Christian 14.7% no religion 0.9% other,"130,375 km²",6.7 million,,,(NIO),UTC -6,0,+505,countries/Nicaragua_flag.png,countries/Nicaragua_anthem.mp3,,North America,2.34,85.0,"1,231",2.0,Costa Rica: 309 km (192 mi); Honduras: 922 km (573 mi),"Blue, White"
122,Niger,https://en.wikipedia.org/wiki/Niger,Niamey,Arabic Buduma Fulfulde Gourmanchéma Kanuri Songhai Tamasheq Tassawaq Tebu Zarma,99.3% Islam 0.3% Christianity 0.2% Animism 0.1% irreligion,"1,267,000 km²",26.3 million,,,(XOF),UTC +1,0,+227,countries/Niger_flag.png,countries/Niger_anthem.ogg,,Africa,0.0,173.0,"5,697",7.0,"Algeria: 956 km (594 mi); Benin: 266 km (165 mi); Burkina Faso: 628 km (390 mi); Chad: 1,175 km (730 mi); Libya: 354 km (220 mi); Mali: 821 km (510 mi); Nigeria: 1,497 km (930 mi)","Orange, Green, White"
123,Nigeria,https://en.wikipedia.org/wiki/Nigeria,Abuja,English,53.50% Islam 45.90% Christianity 35.30% Protestants 10.60% Catholics 0.60% other,"923,769 km²",236.7 million,,,₦ (NGN),UTC +1,0,+234,countries/Nigeria_flag.png,countries/Nigeria_anthem.ogg,,Africa,0.66,123.0,"4,047",4.0,"Benin: 773 km (480 mi); Cameroon: 1,690 km (1,050 mi); Chad: 87 km (54 mi); Niger: 1,497 km (930 mi)","Green, White"
124,North Korea,https://en.wikipedia.org/wiki/North_Korea,Pyongyang,Korean ( Munhwaŏ ),73% no religion  13% Chondoism 12% Shamanism 1.5% Buddhism 0.5% other,"120,538 km²",26.3 million,,,₩ (KPW),UTC +9,0,+850,countries/North_Korea_flag.png,countries/North_Korea_anthem.ogg,15.0,Asia,2.56,82.0,"1,673",3.0,"People's Republic of China: 1,416 km (880 mi); South Korea: 238 km (148 mi); Russia: 19 km (12 mi)","Red, Blue, White"
125,North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia,Skopje,Macedonian  Albanian,60.4% Christianity 46.1% Eastern Orthodoxy 14.3% other Christian 32.2% Islam 0.1% no religion 0.1% other 7.2% data taken from administrative sources,"25,436 km²",1.8 million,,,(MKD),UTC +1,1,+389,countries/North_Macedonia_flag.png,countries/North_Macedonia_anthem.mp3,,Europe,,,766,5.0,Albania: 151 km (94 mi); Bulgaria: 148 km (92 mi); Greece: 246 km (153 mi); Kosovo: 159 km (99 mi); Serbia: 62 km (39 mi),"Red, Yellow"
126,Norway,https://en.wikipedia.org/wiki/Norway,Oslo,Kven Romani Scandoromani  Norwegian Sign Language,68.5% Christianity 61.7% Church of Norway  6.8% other Christian 27.3% no religion 3.4% Islam 0.8% other,"385,207 km²",5.6 million,,,(NOK),UTC +1,1,+47,countries/Norway_flag.png,countries/Norway_anthem.ogg,49.0,Europe,4.97,64.0,"2,551",3.0,"Finland: 736 km (457 mi); Sweden: 1,619 km (1,006 mi); Russia: 196 km (122 mi)","Red, Blue, White"
127,Oman,https://en.wikipedia.org/wiki/Oman,Muscat,Arabic,95% Islam ( official ) 1.67% Hinduism 1.67% Christianity 1.66% others,"315,331 km²",5.5 million,,,(OMR),UTC +4,0,+968,countries/Oman_flag.png,countries/Oman_anthem.mp3,,Asia,0.0,176.0,"1,374",3.0,Saudi Arabia: 676 km (420 mi); United Arab Emirates (4): 410 km (250 mi); Yemen: 288 km (179 mi),"Red, Green, White"
128,Pakistan,https://en.wikipedia.org/wiki/Pakistan,Islamabad,Urdu English,Dharmic Buddhism Hinduism Jainism Sikhism Islam Religious persecution Bangladesh India Pakistan,"881,913 km²",241.5 million,,,₨ (PKR),UTC +5,0,+92,countries/Pakistan_flag.png,countries/Pakistan_anthem.oga,22.0,Asia,0.0,164.0,"7,545",4.0,"Afghanistan: 2,670 km (1,660 mi); India: 3,320 km (2,060 mi); Iran: 959 km (596 mi); People's Republic of China: 596 km (370 mi)","Green, White"
129,Palau,https://en.wikipedia.org/wiki/Palau,Ngerulmud,Palauan English,78.7% Christianity 10.1% no religion 5.1% Modekngei 4.9% Islam 1.2% other,459 km²,"18,000",,,(USD),UTC +9,1,+680,countries/Palau_flag.png,countries/Palau_anthem.oga,,Oceania,,,0,0.0,,"Yellow, Blue"
130,Palestine,https://en.wikipedia.org/wiki/Palestine,Jerusalem ( limited recognition )  Ramallah ( de facto ),Arabic,80.73% Islam ( official ) 71.21% Sunni 0.09% Shia 9.42% other  13.07% Judaism  0.88% Christianity 0.05% Baháʼí Faith 5.27% irreligion,"6,020 km²",5.5 million,,,,UTC +2,1,"+970 , +972",countries/Palestine_flag.png,countries/Palestine_anthem.ogg,,Asia,,,466,3.0,Egypt: 11 km (6.8 mi); Israel (2): 358 km (222 mi); Jordan: 97 km (60 mi),"Black, Green, Red, White"
131,Panama,https://en.wikipedia.org/wiki/Panama,Panama City,Spanish,91.5% Christianity 63.2% Catholicism 25.0% Protestantism 3.3% other Christian 7.6% no religion 0.9% other,"75,417 km²",4.3 million,,,(PAB) (USD),UTC -5,0,+507,countries/Panama_flag.png,countries/Panama_anthem.ogg,48.0,North America,5.74,57.0,555,2.0,Colombia: 225 km (140 mi); Costa Rica: 330 km (210 mi),"Blue, Red, White"
132,Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea,Port Moresby,English Hiri Motu PNG Sign Language Tok Pisin,95.5% Christianity ( official )  64.3% Protestantism 26.0% Catholicism 5.2% other Christian 3.1% unspecified 1.4% others or none,"462,840 km²",11.8 million,,,(PGK),"UTC +10, +11",0,+675,countries/Papua_New_Guinea_flag.png,countries/Papua_New_Guinea_anthem.ogg,,Oceania,1.02,111.0,820,1.0,Indonesia: 820 km (510 mi),"Red, Black, White, Yellow"
133,Paraguay,https://en.wikipedia.org/wiki/Paraguay,Asunción,Spanish Guarani,Freedom of religion Baháʼí Catholic Church Islam Judaism LDS Mennonites San La Muerte,"406,752 km²",6.4 million,,,(PYG),UTC -3,0,+595,countries/Paraguay_flag.png,countries/Paraguay_anthem.mp3,32.0,South America,9.71,23.0,"3,920",3.0,"Argentina: 1,880 km (1,170 mi); Bolivia: 750 km (470 mi); Brazil: 1,290 km (800 mi)","Red, Blue, White"
134,Peru,https://en.wikipedia.org/wiki/Peru,Lima,Quechua Aymara Other Indigenous languages,94.5% Christianity 76.0% Catholicism 18.5% other Christian 5.1% no religion 0.4% other,"1,285,216 km²",34.4 million,,,(PEN),UTC -5,0,+51,countries/Peru_flag.png,countries/Peru_anthem.ogg,,South America,4.0,72.0,"5,536",5.0,"Bolivia: 900 km (560 mi); Brazil: 2,995 km (1,861 mi); Chile: 160 km (99 mi); Colombia: 1,496 km (930 mi); Ecuador: 1,420 km (880 mi)","Red, White"
135,Philippines,https://en.wikipedia.org/wiki/Philippines,Manila ( de jure ) Metro Manila  ( de facto ),Filipino,85.3% Christianity 78.8% Catholicism  6.5% other Christian 6.4% Islam 8.2% other,"300,000 km²",112.7 million,,,₱ (PHP),UTC +8,0,+63,countries/Philippines_flag.png,countries/Philippines_anthem.ogg,9.0,Asia,6.77,49.0,0,0.0,,"Blue, Red, White, Yellow"
136,Poland,https://en.wikipedia.org/wiki/Poland,Warsaw,Polish,72.4% Christianity 71.3% Catholicism 1.1% other Christian 6.9% no religion 0.1% other 20.6% unanswered,"312,696 km²",37.9 million,,,(PLN),UTC +1,1,+48,countries/Poland_flag.png,countries/Poland_anthem.ogg,18.0,Europe,7.93,42.0,"2,788",7.0,Belarus: 407 km (253 mi); Czech Republic: 658 km (409 mi); Germany: 456 km (283 mi); Lithuania: 91 km (57 mi); Russia: 206 km (128 mi); Slovakia: 444 km (276 mi); Ukraine: 526 km (327 mi),"White, Red"
137,Portugal,https://en.wikipedia.org/wiki/Portugal,Lisbon,Portuguese Sign Language,Christianity,"156,597 km²",10.7 million,,,€ (EUR),UTC ±0 and -1,1,+351,countries/Portugal_flag.png,countries/Portugal_anthem.ogg,,Europe,13.57,7.0,"1,214",1.0,"Spain: 1,214 km (754 mi)","Red, Green, White"
138,Qatar,https://en.wikipedia.org/wiki/Qatar,Doha,Arabic,65.5% Islam ( official ) 15.1% Hinduism 14.2% Christianity 3.3% Buddhism 1.9% other,"11,581 km²",3.2 million,,,(QAR),UTC +3,0,+974,countries/Qatar_flag.png,countries/Qatar_anthem.ogg,,Asia,0.0,180.0,60,1.0,Saudi Arabia: 60 km (37 mi),"Maroon, White"
139,Republic of Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland,Dublin,Irish  English,Proto-Celtic religion Celtic polytheism Celtic deities Celtic Animism Celtic mythology Celtic Christianity Celtic Rites Celtic stone idolss * Druids Monasticism Romano-Celtic temple Practices,"70,273 km²",5.5 million,,,€ (EUR),UTC ±0,1,+353,countries/Republic_of_Ireland_flag.png,countries/Republic_of_Ireland_anthem.mp3,,,,,,,,
140,Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo,Brazzaville,Kituba Lingala,87.1% Christianity 8.0% no religion 2.7% traditional faiths 1.2% Islam 1.0% others,"342,000 km²",6.2 million,,,(XAF),UTC +1,0,+242,countries/Republic_of_the_Congo_flag.png,countries/Republic_of_the_Congo_anthem.oga,,Africa,,,"5,504",5.0,"Angola: 201 km (125 mi); Cameroon: 523 km (325 mi); Central African Republic: 467 km (290 mi); Democratic Republic of the Congo: 2,410 km (1,500 mi); Gabon: 1,903 km (1,182 mi)","Green, Red, Yellow"
141,Romania,https://en.wikipedia.org/wiki/Romania,Bucharest,Romanian,84.7% Christianity 73.6% Romanian Orthodoxy 6.4% Protestantism 4.4% Catholicism 0.2% other Christian 0.8% no religion 0.4% other 13.9% unanswered,"238,397 km²",19 million,,,(RON),UTC +2,1,+40,countries/Romania_flag.png,countries/Romania_anthem.ogg,,Europe,10.88,19.0,"2,508",5.0,Bulgaria: 608 km (378 mi); Hungary: 443 km (275 mi); Moldova: 450 km (280 mi); Serbia: 476 km (296 mi); Ukraine (2): 531 km (330 mi),"Blue, Red, Yellow"
142,Russia,https://en.wikipedia.org/wiki/Russia,Moscow,Russian,Christianity,"17,098,246 km²",146 million,,,₽ (RUB),UTC +2 to +12,0,+7,countries/Russia_flag.png,countries/Russia_anthem.mp3,7.0,"Asia, Europe",8.08,40.0,"20,017",14.0,"Azerbaijan: 284 km (176 mi); Belarus (2): 959 km (596 mi); People's Republic of China (2): 3,645 km (2,265 mi); Estonia: 294 km (183 mi); Finland: 1,340 km (830 mi); Georgia: 723 km (449 mi); Kazakhstan: 6,846 km (4,254 mi); North Korea: 19 km (12 mi); Latvia: 217 km (135 mi); Lithuania: 227 km (141 mi); Mongolia: 3,485 km (2,165 mi); Norway: 196 km (122 mi); Poland: 206 km (128 mi); Ukraine: 1,576 km (979 mi)","White, Blue, Red"
143,Rwanda,https://en.wikipedia.org/wiki/Rwanda,Kigali,Kinyarwanda,93.8% Christianity 3.0% no religion 2.2% Islam 1.0% other,"26,338 km²",14.1 million,,,(RWF),UTC +2,0,+250,countries/Rwanda_flag.png,countries/Rwanda_anthem.mp3,,Africa,0.71,121.0,893,4.0,Burundi: 290 km (180 mi); Democratic Republic of the Congo: 217 km (135 mi); Tanzania: 217 km (135 mi); Uganda: 169 km (105 mi),"Sky Blue, Green, Yellow"
144,Saint Kitts and Nevis,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis,Basseterre,English,94.6% Christianity 81.3% Protestantism 13.3% other Christian 2.6% no religion 1.5% Hinduism 1.3% other,261 km²,"48,000",,,EC$ (XCD),UTC -4,0,+1,countries/Saint_Kitts_and_Nevis_flag.png,countries/Saint_Kitts_and_Nevis_anthem.ogg,,North America,0.0,181.0,0,0.0,,
145,Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia,Castries,English,77.4% Christianity 14.4% no religion 1.4% Rastafari 2.7% other 4.1% not stated,617 km²,"200,000",,,(XCD),UTC -4,0,+1,countries/Saint_Lucia_flag.png,countries/Saint_Lucia_anthem.mp3,,North America,0.0,182.0,0,0.0,,"Light Blue, Black, White, Yellow"
146,Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines,Kingstown,English,88.6% Christianity 70.2% Protestantism 18.4% Other Christian 3.4% Hinduism 2.5% Irreligion 1.8% Rastafari 1.6% Baháʼí Faith 1.5% Islam 0.5% Other,389 km²,"100,000",,,(XCD),UTC -4,0,+1,countries/Saint_Vincent_and_the_Grenadines_flag.png,countries/Saint_Vincent_and_the_Grenadines_anthem.mp3,,North America,0.0,183.0,0,0.0,,
